INFRACCIONES,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,
Total Nacional,
    1. CONTRA LAS PERSONAS,183590.0,161406.0,186110.0,177165.0,174217.0,166431.0,223893.0,281713.0,274655.0,286446.0,300654.0,297488.0,
    1.1.-Homicidios dolosos/asesinatos,1322.0,1201.0,1167.0,1088.0,1106.0,1107.0,964.0,1048.0,964.0,1125.0,1210.0,1177.0,
    1.1.1.-Homicidios dolosos/asesinatos consumados,290.0,298.0,331.0,289.0,307.0,294.0,302.0,323.0,302.0,364.0,385.0,401.0,
    1.2.-Lesiones,96159.0,81449.0,103341.0,99928.0,100354.0,97108.0,97012.0,98821.0,100193.0,105913.0,112824.0,113067.0,
    1.3.-Malos tratos ámbito familiar,82003.0,75203.0,77424.0,72309.0,69812.0,66102.0,64118.0,62392.0,59819.0,59703.0,62260.0,60307.0,
    1.4.-Otros contra las personas,4106.0,3553.0,4178.0,3840.0,2945.0,2114.0,61799.0,119452.0,113679.0,119705.0,124360.0,122937.0,
    2. CONTRA LA LIBERTAD,139867.0,125010.0,125685.0,120919.0,119031.0,115493.0,78815.0,42953.0,43322.0,44476.0,45131.0,42376.0,
    2.1.-Malos tratos habituales en el ámbito familiar,15008.0,13993.0,14575.0,14196.0,14238.0,14554.0,15676.0,15958.0,16676.0,17523.0,17694.0,17270.0,
    2.2.-Otros contra la libertad,124859.0,111017.0,111110.0,106723.0,104793.0,100939.0,63139.0,26995.0,26646.0,26953.0,27437.0,25106.0,
    3. LIBERTAD SEXUAL,17016.0,13174.0,15319.0,13782.0,11692.0,10844.0,9869.0,9468.0,8923.0,9008.0,9892.0,9957.0,
    3.1.-Agresión sexual,2313.0,1660.0,2059.0,1917.0,1806.0,1684.0,1626.0,1722.0,1807.0,2014.0,2294.0,2231.0,
    3.2.-Agresión sexual con penetración,2143.0,1596.0,1873.0,1700.0,1387.0,1249.0,1229.0,1239.0,1298.0,1280.0,1513.0,1581.0,
    3.3.-Corrupción de menores o incapacitados,347.0,350.0,369.0,268.0,400.0,368.0,432.0,386.0,320.0,278.0,253.0,345.0,
    3.4.-Pornografía de menores,739.0,762.0,866.0,892.0,767.0,621.0,748.0,625.0,508.0,569.0,715.0,953.0,
    3.5.-Otros contra la libertad e indemnidad sexual,11474.0,8806.0,10152.0,9005.0,7332.0,6922.0,5834.0,5496.0,4990.0,4867.0,5117.0,4847.0,
    4. RELACIONES FAMILIARES,7410.0,6831.0,7288.0,7630.0,7915.0,8043.0,9814.0,10506.0,10331.0,10424.0,9087.0,7877.0,
